CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92835K103,VPG,VISHAY PRECISION GROUP INC,1008167,-11701,151.13M,-1.75M,-1.1%,5.7%
077347300,BELFB,BEL FUSE INC,47856,-5314,15.94M,-1.77M,-10%,0.6%
80007P869,SD,SANDRIDGE ENERGY INC,0,-123591,0,-2.02M,CLOSE,0%
253798102,DGII,DIGI INTL INC,141243,-29013,10.59M,-2.17M,-17%,0.4%
03213A104,AMPL,AMPLITUDE INC,0,-359593,0,-2.45M,CLOSE,0%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,11966,-17867,1.77M,-2.65M,-59.9%,0.07%
30234F101,XZO,EXZEO GROUP INC,0,-209885,0,-3.08M,CLOSE,0%
85209W109,SPT,SPROUT SOCIAL INC,0,-558350,0,-3.18M,CLOSE,0%
39304D102,GDOT,GREEN DOT CORP,0,-298697,0,-3.35M,CLOSE,0%
26142Q304,DPRO,DRAGANFLY INC.,0,-682730,0,-3.35M,CLOSE,0%
56146T103,MAMA,MAMAS CREATIONS INC,984869,-192067,17.58M,-3.43M,-16.3%,0.66%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,0,-117933,0,-3.45M,CLOSE,0%
65290E101,NXT,NEXTPOWER INC,27101,-29646,3.23M,-3.53M,-52.2%,0.12%
M2197Q107,CLBT,CELLEBRITE DI LTD,1932514,-248410,28.21M,-3.63M,-11.4%,1.1%
87484T108,TALO,TALOS ENERGY INC,13300,-331249,171.7K,-4.28M,-96.1%,<.01%
135086106,GOOS,CANADA GOOSE HLDGS INC,2750523,-467754,26.16M,-4.45M,-14.5%,0.98%
26856L103,ELF,E L F BEAUTY INC,75954,-60753,5.62M,-4.5M,-44.4%,0.21%
74766Q101,QTRX,QUANTERIX CORP,1899308,-1046515,8.21M,-4.52M,-35.5%,0.31%
74347M108,PUMP,PROPETRO HLDG CORP,0,-314815,0,-4.54M,CLOSE,0%
46571Y107,IIIV,I3 VERTICALS INC,0,-207274,0,-4.63M,CLOSE,0%
71535D106,PSNL,PERSONALIS INC,0,-736713,0,-4.69M,CLOSE,0%
98422D105,XPEV,XPENG INC,0,-275432,0,-4.71M,CLOSE,0%
438333106,HNST,HONEST CO INC,1740146,-1305688,6.37M,-4.78M,-42.9%,0.24%
008073108,AVAV,AEROVIRONMENT INC,0,-26880,0,-4.92M,CLOSE,0%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,56763,-316367,895.72K,-4.99M,-84.8%,0.03%
59356Q108,MIAX,MIAMI INTL HLDGS INC,0,-128819,0,-5.01M,CLOSE,0%
65487K100,LASR,NLIGHT INC,151867,-73709,10.57M,-5.13M,-32.7%,0.4%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,894478,-901210,5.19M,-5.23M,-50.2%,0.19%
156431108,CENX,CENTURY ALUM CO,0,-95039,0,-5.58M,CLOSE,0%
09239B109,BL,BLACKLINE INC,0,-159026,0,-5.88M,CLOSE,0%
87961M105,TLX,TELIX PHARMACEUTICAL LTD,25424,-515843,293.14K,-5.95M,-95.3%,0.01%
665531307,NOG,NORTHERN OIL & GAS INC,0,-204244,0,-5.97M,CLOSE,0%
816850101,SMTC,SEMTECH CORP,294619,-37708,47.68M,-6.1M,-11.3%,1.8%
75585H206,REAX,THE REAL BROKERAGE INC,11042364,-3477484,20.1M,-6.33M,-23.9%,0.75%
532257805,LPTH,LIGHTPATH TECHNOLOGIES INC,629168,-411294,10.29M,-6.72M,-39.5%,0.39%
278642103,EBAY,EBAY INC.,65741,-60355,7.35M,-6.74M,-47.9%,0.28%
90138A103,VNET,VNET GROUP INC,0,-825490,0,-6.93M,CLOSE,0%
054540208,ACLS,AXCELIS TECHNOLOGIES INC,0,-77168,0,-7.18M,CLOSE,0%
44951W106,IESC,IES HOLDINGS INC,1940,-9929,1.43M,-7.29M,-83.7%,0.05%
76029L100,RPAY,REPAY HLDGS CORP,0,-2856178,0,-7.43M,CLOSE,0%
00676P107,ADEA,ADEIA INC,443060,-286401,14.59M,-9.43M,-39.3%,0.55%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,65221,-194590,3.25M,-9.7M,-74.9%,0.12%
654902204,NOK,NOKIA CORP,1645761,-748209,21.86M,-9.94M,-31.3%,0.82%
Y2990R101,HAFN,HAFNIA LTD,367195,-1581522,2.44M,-10.5M,-81.2%,0.09%
030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,29314,-266322,1.22M,-11.06M,-90.1%,0.05%
Y2065G121,DHT,DHT HOLDINGS INC,314928,-776860,5.21M,-12.84M,-71.2%,0.19%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,310361,-113081,36.69M,-13.37M,-26.7%,1.4%
516544103,LNTH,LANTHEUS HLDGS INC,288691,-128699,32.03M,-14.28M,-30.8%,1.2%
466313103,JBL,JABIL INC,38929,-38268,15.01M,-14.75M,-49.6%,0.56%
Y64177101,ECO,OKEANIS ECO TANKERS COR,195997,-342863,9.82M,-17.18M,-63.6%,0.37%
91688F104,UPWK,UPWORK INC,0,-1570560,0,-17.21M,CLOSE,0%
74164F103,PRIM,PRIMORIS SVCS CORP,0,-130626,0,-18.68M,CLOSE,0%
69888T207,PARR,PAR PAC HOLDINGS INC,341863,-351971,19.17M,-19.74M,-50.7%,0.72%
172573107,CRCL,CIRCLE INTERNET GROUP INC,0,-213796,0,-20.4M,CLOSE,0%
68373J104,LPRO,OPEN LENDING CORP,182803,-6720085,568.52K,-20.9M,-97.4%,0.02%
626755102,MUSA,MURPHY USA INC,0,-48107,0,-23.76M,CLOSE,0%
14843C105,CSTL,CASTLE BIOSCIENCES INC,328818,-1021465,7.84M,-24.36M,-75.6%,0.29%
218937100,CNR,CORE NATURAL RESOURCES INC,0,-237036,0,-24.82M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,126856,-71007,46.28M,-25.9M,-35.9%,1.7%
607828100,MOD,MODINE MFG CO,313683,-98409,83.76M,-26.28M,-23.9%,3.1%
G3323L100,FN,FABRINET,6418,-48345,3.61M,-27.17M,-88.3%,0.14%
056752108,BIDU,BAIDU INC,95863,-270566,10.96M,-30.92M,-73.8%,0.41%
Y2573F102,FLEX,FLEX LTD,229027,-214101,37.12M,-34.7M,-48.3%,1.4%
44952J104,CRGY,CRESCENT ENERGY COMPANY,0,-2601142,0,-35.12M,CLOSE,0%
69318G106,PBF,PBF ENERGY INC,0,-799998,0,-38.1M,CLOSE,0%
87305R109,TTMI,TTM TECHNOLOGIES INC,507838,-219656,94.98M,-41.08M,-30.2%,3.6%
Total,,,,,2.67B,204.69M,+10.9%,100%
