CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287507,IJH,ISHARES TR CORE S&P MCP,21075,500,1.62M,38.55K,+2.4%,0.06%
832696405,SJM,SMUCKER J M CO,10445,330,1.18M,37.12K,+3.3%,0.04%
G1151C101,ACN,ACCENTURE PLC IRELAND SHS,2012,284,250K,35.29K,+16.4%,<.01%
191216100,KO,COCA COLA CO,4090,425,332K,34.5K,+11.6%,0.01%
33737J182,FEM,FIRST TR EXCH TRD ALPHDX FD,47620,1075,1.52M,34.38K,+2.3%,0.06%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,8531,1020,284K,33.96K,+13.6%,0.01%
N07059210,ASML,ASML HOLDING N V N Y REGISTRY,381,16,759K,31.87K,+4.4%,0.03%
922908363,VOO,VANGUARD INDEX FDS S&P 500 ETF,14701,46,10.1M,31.59K,+0.3%,0.37%
81762P102,NOW,SERVICENOW INC,5816,290,577K,28.77K,+5.2%,0.02%
37045V100,GM,GENERAL MTRS CO,75755,319,5.84M,24.59K,+0.4%,0.21%
N97284108,NBIS,NEBIUS GROUP N.V.,61088,88,16.87M,24.3K,+0.1%,0.62%
921946406,VYM,VANGUARD WHITEHALL FDS INC HIGH DIV,9960,150,1.57M,23.7K,+1.5%,0.06%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,1857,115,381K,23.59K,+6.6%,0.01%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,37614,146,4.63M,17.96K,+0.4%,0.17%
025816109,AXP,AMERICAN EXPRESS CO,1009,51,341K,17.24K,+5.3%,0.01%
46625H100,JPM,JPMORGAN CHASE & CO,13236,52,4.33M,17.02K,+0.4%,0.16%
98149E303,GLDM,WORLD GOLD TR,5164,201,410K,15.96K,+4%,0.01%
35671D857,FCX,FREEPORT-MCMORAN INC,162865,243,10.24M,15.28K,+0.1%,0.37%
577125818,MEM,MATTHEWS ASIA FDS,116250,336,5.26M,15.21K,+0.3%,0.19%
354613101,BEN,FRANKLIN RESOURCES INC,143825,389,4.79M,12.94K,+0.3%,0.17%
37954Y871,URA,GLOBAL X FDS,7667,234,335K,10.22K,+3.1%,0.01%
00287Y109,ABBV,ABBVIE INC,14267,36,3.59M,9.06K,+0.3%,0.13%
G7S00T104,PNR,PENTAIR PLC,7394,118,567K,9.05K,+1.6%,0.02%
47103U886,VNLA,JANUS DETROIT STR TR HENDRSN SHRT,269234,181,13.16M,8.84K,+0.1%,0.48%
88160R101,TSLA,TESLA MTRS INC,1945,20,818K,8.41K,+1%,0.03%
45773H409,INO,INOVIO PHARMACEUTICALS INC,31999,7100,35K,7.77K,+28.5%,<.01%
91324P102,UNH,UNITEDHEALTH GROUP INC,20074,15,8.34M,6.23K,+0.1%,0.3%
G0176J109,ALLE,ALLEGION PLC ORD,14891,44,2.09M,6.18K,+0.3%,0.08%
00206R102,T,AT&T INC,13594,296,281K,6.12K,+2.2%,0.01%
20030N101,CMCSA,COMCAST CORP NEW,9800,230,241K,5.66K,+2.4%,<.01%
959802109,WU,WESTERN UN CO,15012,689,116K,5.32K,+4.8%,<.01%
7591EP100,RF,REGIONS FINL CORP NEW,109075,91,3.29M,2.75K,+0.1%,0.12%
03615A108,ANVS,ANNOVIS BIO INC,48400,1400,90K,2.6K,+3%,<.01%
916896103,UEC,URANIUM ENERGY CORP,108286,231,1.15M,2.46K,+0.2%,0.04%
57667L107,MTCH,MATCH GROUP INC NEW,21739,47,827K,1.79K,+0.2%,0.03%
548661107,LOW,LOWES COS INC,972,3,214K,660.49,+0.3%,<.01%
29273V100,ET,ENERGY TRANSFER EQUITY L P,13038,31,249K,592.04,+0.2%,<.01%
464287804,IJR,ISHARES TR CORE S&P SCP,22539,3,3.34M,444.96,+0%,0.12%
46137V357,RSP,INVESCO T S&P500 EQL WGT,13509,1,2.87M,212.75,+0%,0.1%
922908553,VNQ,VANGUARD INDEX FDS REIT,5858,1,565K,96.45,+0%,0.02%
025072364,AVIV,AMERICAN CENTY TR INTERNATIONAL LR,12649,1,979K,77.4,+0%,0.04%
37733W204,GSK,GSK PLC,31884,1,1.67M,52.41,+0%,0.06%
13462K109,CWH,CAMPING WORLD HLDGS INC,107501,1,820K,7.63,+0%,0.03%
65250K105,NMAX,NEWSMAX INC,22795352,0,188.75M,0,NO CHANGE,6.9%
80004C200,SNDK,SANDISK CORP,13173,0,29.95M,0,NO CHANGE,1.1%
05464C101,AXON,AXON ENTERPRISE INC,26897,0,15.08M,0,NO CHANGE,0.55%
962166104,WY,WEYERHAEUSER CO,554256,0,13.27M,0,NO CHANGE,0.48%
701094104,PH,PARKER HANNIFIN CORP,12191,0,11.92M,0,NO CHANGE,0.43%
58733R102,MELI,MERCADOLIBRE INC,5500,0,9.34M,0,NO CHANGE,0.34%
928254101,VIRT,VIRTU FINL INC,146960,0,8.75M,0,NO CHANGE,0.32%
553368101,MP,MP MATERIALS CORP COM,150091,0,8.41M,0,NO CHANGE,0.31%
06738E204,BCS,BARCLAYS PLC,272283,0,7.31M,0,NO CHANGE,0.27%
733174700,BPOP,POPULAR INC,28137,0,4.62M,0,NO CHANGE,0.17%
922908751,VB,VANGUARD INDEX FDS SMALL CP,14362,0,4.35M,0,NO CHANGE,0.16%
65340P106,NXE,NEXGEN ENERGY LTD,300000,0,2.82M,0,NO CHANGE,0.1%
422704106,HL,HECLA MNG CO,150267,0,2.32M,0,NO CHANGE,0.08%
922042858,VWO,VANGUARD INTL EQUITY INDEX F FTSE EMR MKT,37560,0,2.24M,0,NO CHANGE,0.08%
697900108,PAAS,PAN AMERN SILVER CORP,49000,0,2.19M,0,NO CHANGE,0.08%
02390A101,AMX,AMERICA MOVIL SAB DE CV SPON ADR L,73440,0,1.91M,0,NO CHANGE,0.07%
962879102,WPM,WHEATON PRECIOUS METALS CORP,17000,0,1.91M,0,NO CHANGE,0.07%
66987V109,NVS,NOVARTIS AG,11294,0,1.77M,0,NO CHANGE,0.06%
32076V103,AG,FIRST MAJESTIC SILVER CORP,100000,0,1.7M,0,NO CHANGE,0.06%
45687V106,IR,INGERSOLL RAND INC,19918,0,1.63M,0,NO CHANGE,0.06%
40434L105,HPQ,HP INC,65045,0,1.43M,0,NO CHANGE,0.05%
922042775,VEU,VANGUARD INTL EQUITY INDEX F ALLWRLD EX,16758,0,1.4M,0,NO CHANGE,0.05%
10948W103,AAMI,ACADIAN ASSET MANAGEMENT INC,18500,0,1.32M,0,NO CHANGE,0.05%
65290E101,NXT,NEXTRACKER INC,8445,0,1.01M,0,NO CHANGE,0.04%
10948C107,BV,BRIGHTVIEW HLDGS INC,55000,0,779K,0,NO CHANGE,0.03%
33738R506,RDVY,FIRST TR EXCHANGE-TRADED FD RISNG DIVD,8891,0,721K,0,NO CHANGE,0.03%
922042742,VT,VANGUARD INTL EQUITY INDEX F TT WRLD ST,4525,0,710K,0,NO CHANGE,0.03%
704223387,BLDX,IMPAX FUNDS SERIES TRUST I,26180,0,682K,0,NO CHANGE,0.02%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TR ROBO GLB,7939,0,680K,0,NO CHANGE,0.02%
464287465,EFA,ISHARES TR MSCI EAFE,6185,0,642K,0,NO CHANGE,0.02%
37954Y715,BOTZ,GLOBAL X FDS RBTCS ARTFL,15187,0,576K,0,NO CHANGE,0.02%
81369Y803,XLK,SELECT SECTOR SPDR TR TECHNOLOGY,2861,0,545K,0,NO CHANGE,0.02%
464288372,IGF,ISHARES TR GLB INFRASTR,8054,0,536K,0,NO CHANGE,0.02%
33736Q104,QABA,FIRST TR NASDAQ ABA CMNTY BK UT COM SHS,6994,0,471K,0,NO CHANGE,0.02%
44891N208,IAC,PEOPLE INC,8747,0,404K,0,NO CHANGE,0.01%
931142103,WMT,WAL-MART STORES INC,3344,0,379K,0,NO CHANGE,0.01%
254687106,DIS,DISNEY WALT CO,3830,0,369K,0,NO CHANGE,0.01%
921937819,BIV,VANGUARD BD INDEX FDS,4115,0,316K,0,NO CHANGE,0.01%
922042676,VNQI,VANGUARD INTL EQUITY INDEX F GLB EX US,6850,0,307K,0,NO CHANGE,0.01%
05613H704,BKMI,BNY MELLON ETF TRUST II,10775,0,285K,0,NO CHANGE,0.01%
316092840,FDVV,FIDELITY COVINGTON TRUST,4694,0,283K,0,NO CHANGE,0.01%
464287796,IYE,ISHARES TR U.S. ENERGY,4110,0,233K,0,NO CHANGE,<.01%
05613H803,BMOP,BNY MELLON ETF TRUST II,8185,0,206K,0,NO CHANGE,<.01%
00847G705,AGEN,AGENUS INC,12000,0,37K,0,NO CHANGE,<.01%
19260Q107,COIN,COINBASE GLOBAL INC COM,100033,-2,14.62M,-292.38,-0%,0.53%
369604301,GE,GENERAL ELECTRIC CO,2530,-2,945K,-747.04,-0.1%,0.03%
33738D101,EMLP,FIRST TR EXCHANGE-TRADED FD,4775,-20,208K,-871.2,-0.4%,<.01%
G51502105,JCI,JOHNSON CTLS INTL PLC,30316,-10,4.43M,-1.46K,-0%,0.16%
688239201,OSK,OSHKOSH CORP,49022,-11,7.52M,-1.69K,-0%,0.27%
20825C104,COP,CONOCOPHILLIPS,2884,-18,300K,-1.87K,-0.6%,0.01%
57636Q104,MA,MASTERCARD INC,424,-5,218K,-2.57K,-1.2%,<.01%
78467V608,SRLN,SSGA ACTIVE TR BLKSTN GSOSRLN,12361,-64,498K,-2.58K,-0.5%,0.02%
483119202,KALA,KALA PHARMACEUTICALS INC,0,-18393,0,-3K,CLOSE,0%
38268T103,GPRO,GOPRO INC,19800,-4300,15K,-3.26K,-17.8%,<.01%
46434G822,EWJ,ISHARES INC MSCI JPN,13198,-37,1.23M,-3.45K,-0.3%,0.04%
949746101,WFC,WELLS FARGO & CO NEW,3234,-46,267K,-3.8K,-1.4%,<.01%
233051200,DBEF,DBX ETF TR,6379,-80,348K,-4.36K,-1.2%,0.01%
50155Q100,KD,KYNDRYL HLDGS INC COMMON,36862,-386,417K,-4.37K,-1%,0.02%
921909768,VXUS,VANGUARD STAR FD VG TL INTL STK,75124,-56,6.42M,-4.79K,-0.1%,0.23%
88579Y101,MMM,3M CO,2372,-30,384K,-4.86K,-1.2%,0.01%
75886F107,REGN,REGENERON PHARMACEUTICALS,16094,-8,10.04M,-4.99K,-0%,0.37%
97717W851,DXJ,WISDOMTREE TR JAPN HEDGE,7896,-29,1.37M,-5.03K,-0.4%,0.05%
81369Y506,XLE,SELECT SECTOR SPDR TR ENERGY,14842,-96,788K,-5.1K,-0.6%,0.03%
14448C104,CARR,CARRIER GLOBAL CORPORATION,3530,-73,259K,-5.36K,-2%,<.01%
718172109,PM,PHILIP MORRIS INTL INC,1865,-31,337K,-5.6K,-1.6%,0.01%
031162100,AMGN,AMGEN INC,1444,-16,523K,-5.8K,-1.1%,0.02%
62914V106,NIO,NIO INC SPON,17550,-1200,89K,-6.09K,-6.4%,<.01%
G8588X103,SGHC,SUPER GROUP SGHC LIMITED,11528,-540,156K,-7.31K,-4.5%,<.01%
020002101,ALL,ALLSTATE CORP,2357,-32,561K,-7.62K,-1.3%,0.02%
92206C870,VCIT,VANGUARD SCOTTSDALE FDS INT-TERM,27597,-100,2.28M,-8.27K,-0.4%,0.08%
097023105,BA,BOEING CO,1067,-39,231K,-8.44K,-3.5%,<.01%
032095101,APH,AMPHENOL CORP NEW,20839,-48,3.67M,-8.46K,-0.2%,0.13%
74743L100,Q,QNITY ELECTRONICS INC,10476,-57,1.71M,-9.31K,-0.5%,0.06%
816851109,SRE,SEMPRA ENERGY,2481,-101,230K,-9.36K,-3.9%,<.01%
038222105,AMAT,APPLIED MATLS INC,53579,-13,38.74M,-9.4K,-0%,1.4%
88262P102,TPL,TEXAS PACIFIC LAND CORPORATI,477,-23,209K,-10.08K,-4.6%,<.01%
478160104,JNJ,JOHNSON & JOHNSON,4468,-41,1.14M,-10.42K,-0.9%,0.04%
G29183103,ETN,EATON CORP PLC,553,-26,236K,-11.1K,-4.5%,<.01%
83088M102,SWKS,SKYWORKS SOLUTIONS INC,21942,-174,1.49M,-11.8K,-0.8%,0.05%
G0084W101,ADNT,ADIENT PLC ORD,28757,-655,529K,-12.05K,-2.2%,0.02%
02072L565,BOXX,EA SERIES TRUST,30374,-105,3.56M,-12.29K,-0.3%,0.13%
74762E102,PWR,QUANTA SVCS INC,523,-18,377K,-12.98K,-3.3%,0.01%
278642103,EBAY,EBAY INC,27352,-118,3.06M,-13.19K,-0.4%,0.11%
512807108,LRCX,LAM RESEARCH CORP,1188,-35,515K,-15.17K,-2.9%,0.02%
64110L106,NFLX,NETFLIX INC,5069,-226,362K,-16.14K,-4.3%,0.01%
38141G104,GS,GOLDMAN SACHS GROUP INC,11139,-16,11.27M,-16.18K,-0.1%,0.41%
12503M108,CBOE,CBOE HLDGS INC,70135,-72,17.02M,-17.47K,-0.1%,0.62%
79466L302,CRM,SALESFORCE COM INC,2203,-112,345K,-17.54K,-4.8%,0.01%
580135101,MCD,MCDONALDS CORP,2827,-71,764K,-19.19K,-2.4%,0.03%
617446448,MS,MORGAN STANLEY,12680,-96,2.65M,-20.07K,-0.8%,0.1%
49446R109,KIM,KIMCO RLTY CORP,33820,-916,857K,-23.21K,-2.6%,0.03%
01626W101,ALIT,ALIGHT INC COM,0,-40728,0,-24K,CLOSE,0%
