CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,39032382,6387644,521.47M,85.34M,+19.6%,34.2%
40415F101,HDB,HDFC BANK LTD,8424500,1396238,217.6M,36.06M,+19.9%,14.3%
22266T109,CPNG,COUPANG INC,13050169,1190858,226.68M,20.69M,+10%,14.9%
829933100,SIRI,SIRIUSXM HOLDINGS INC,6082824,386100,179.69M,11.41M,+6.8%,11.8%
44332N106,HTHT,H WORLD GROUP LTD,3774658,239270,157.48M,9.98M,+6.8%,10.3%
36164V800,GLIBK,LIBERTY CAP CORP,1863837,-98502,40.18M,-2.12M,-5%,2.6%
81141R100,SE,SEA LTD,1896564,-227748,181.75M,-21.83M,-10.7%,11.9%
Total,,,,,1.52B,139.53M,+9.8%,100%
