CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
462260100,IOVA,IOVANCE BIOTHERAPEUTICS INC,9944,-3868,41.37K,-16.09K,-28%,<.01%
753422104,RPD,RAPID7 INC,0,-2982,0,-16.43K,CLOSE,0%
02081G201,ATEC,ALPHATEC HLDGS INC,8465,-1919,73.22K,-16.6K,-18.5%,<.01%
118440106,BKE,BUCKLE INC,0,-332,0,-16.72K,CLOSE,0%
G16910120,BLSH,BULLISH,41009,-714,960.84K,-16.73K,-1.7%,0.01%
829242106,SBGI,SINCLAIR INC,0,-1306,0,-16.9K,CLOSE,0%
16934Q802,CIM,CHIMERA INVT CORP,0,-1418,0,-17.8K,CLOSE,0%
52603A208,LC,LENDINGCLUB ISSUANCE TR SER,0,-1380,0,-19.76K,CLOSE,0%
74467Q103,PUBM,PUBMATIC INC,11560,-1523,151.67K,-19.98K,-11.6%,<.01%
22717L101,CRON,CRONOS GROUP INC,0,-8090,0,-20.31K,CLOSE,0%
78573M104,SABR,SABRE CORP,0,-14105,0,-20.45K,CLOSE,0%
91688F104,UPWK,UPWORK INC,7231,-2494,60.45K,-20.85K,-25.6%,<.01%
219948106,CPAY,CORPAY INC,0,-77,0,-22.41K,CLOSE,0%
93403J106,WRBY,WARBY PARKER INC,65415,-740,1.98M,-22.45K,-1.1%,0.03%
78781J109,SAIL,SAILPOINT INC,0,-1714,0,-22.69K,CLOSE,0%
14817C107,FLNA,FILANA THERAPEUTICS INC,947,-20021,1.13K,-23.83K,-95.5%,<.01%
919794107,VLY,VALLEY NATL BANCORP,8616,-1642,126.22K,-24.06K,-16%,<.01%
09173B107,KEEL,BITFARMS LTD,0,-12468,0,-24.31K,CLOSE,0%
92846Q107,COCO,VITA COCO CO INC,0,-522,0,-25.01K,CLOSE,0%
85423L103,SARO,STANDARDAERO INC,0,-999,0,-25.8K,CLOSE,0%
26969P108,EXP,EAGLE MATLS INC,0,-137,0,-25.95K,CLOSE,0%
07556Q881,BZH,BEAZER HOMES USA INC,1572,-970,44.09K,-27.21K,-38.2%,<.01%
00760J108,AEHR,AEHR TEST SYS,11663,-333,1.12M,-31.99K,-2.8%,0.02%
681116109,OLLI,OLLIES BARGAIN OUTLET HLDGS,2568,-421,197.43K,-32.37K,-14.1%,<.01%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,13347,-1076,403.08K,-32.5K,-7.5%,<.01%
47103J105,JANX,JANUX THERAPEUTICS INC,0,-2402,0,-33.39K,CLOSE,0%
29664W105,ESPR,ESPERION THERAPEUTICS INC NE,0,-12593,0,-34.51K,CLOSE,0%
G1110E107,BHVN,BIOHAVEN LTD,0,-4153,0,-35.13K,CLOSE,0%
05990K106,BANC,BANC OF CALIFORNIA INC,1986,-1783,40.57K,-36.43K,-47.3%,<.01%
G4412G101,HLF,HERBALIFE LTD,5419,-2869,71.26K,-37.73K,-34.6%,<.01%
08975B109,BBAI,BIGBEAR AI HLDGS INC,165470,-10345,607.27K,-37.97K,-5.9%,<.01%
85209W109,SPT,SPROUT SOCIAL INC,0,-6667,0,-38K,CLOSE,0%
45867G101,IDCC,INTERDIGITAL INC,875,-137,247.74K,-38.79K,-13.5%,<.01%
093671105,HRB,BLOCK H & R INC,0,-1326,0,-42.09K,CLOSE,0%
88554D205,DDD,3D SYS CORP DEL,7727,-14441,23.34K,-43.61K,-65.1%,<.01%
29258Y103,EXK,ENDEAVOUR SILVER CORP,15656,-5271,129.63K,-43.64K,-25.2%,<.01%
23355L106,DXC,DXC TECHNOLOGY CO,0,-3561,0,-44.76K,CLOSE,0%
589378108,MRCY,MERCURY SYS INC,0,-635,0,-46.3K,CLOSE,0%
44332N106,HTHT,H WORLD GROUP LTD,10529,-1129,439.27K,-47.1K,-9.7%,<.01%
226718104,CRTO,CRITEO S A,6904,-2661,126.2K,-48.64K,-27.8%,<.01%
42806J700,HTZ,HERTZ GLOBAL HLDGS INC,0,-10561,0,-48.69K,CLOSE,0%
73642K106,PTLO,PORTILLOS INC,2053,-10752,9.73K,-50.96K,-84%,<.01%
74276L105,PRCT,PROCEPT BIOROBOTICS CORP,0,-2050,0,-51.27K,CLOSE,0%
53566V106,LINE,LINEAGE INC,0,-1582,0,-51.83K,CLOSE,0%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,2106,-9026,12.21K,-52.35K,-81.1%,<.01%
361008105,FNKO,FUNKO INC,5561,-9089,32.7K,-53.44K,-62%,<.01%
135086106,GOOS,CANADA GOOSE HLDGS INC,4766,-5824,45.33K,-55.39K,-55%,<.01%
M4R82T106,FVRR,FIVERR INTL LTD,0,-5583,0,-55.94K,CLOSE,0%
146229109,CRI,CARTERS INC,0,-1578,0,-56.43K,CLOSE,0%
70202L102,PSN,PARSONS CORP DEL,0,-1101,0,-59.64K,CLOSE,0%
960413102,WLK,WESTLAKE CORPORATION,0,-514,0,-60.05K,CLOSE,0%
34354P105,FLS,FLOWSERVE CORP,0,-833,0,-61.23K,CLOSE,0%
668771108,GEN,GEN DIGITAL INC,189,-2462,4.7K,-61.28K,-92.9%,<.01%
Y1968P121,DAC,DANAOS CORPORATION,0,-550,0,-61.95K,CLOSE,0%
198516106,COLM,COLUMBIA SPORTSWEAR CO,0,-1142,0,-62.59K,CLOSE,0%
05156V102,AUPH,AURINIA PHARMACEUTICALS INC,0,-4236,0,-62.78K,CLOSE,0%
591520200,MEI,METHODE ELECTRS INC,0,-11872,0,-65.53K,CLOSE,0%
46578C108,IE,IVANHOE ELECTRIC INC,4001,-6978,38.45K,-67.06K,-63.6%,<.01%
682143102,OMER,OMEROS CORP,0,-6430,0,-67.9K,CLOSE,0%
90138A103,VNET,VNET GROUP INC,44921,-8595,361.17K,-69.1K,-16.1%,<.01%
79589L106,IOT,SAMSARA INC,29270,-2170,949.23K,-70.37K,-6.9%,0.01%
803607100,SRPT,SAREPTA THERAPEUTICS INC,0,-3259,0,-70.92K,CLOSE,0%
989701107,ZION,ZIONS BANCORPORATION NATL AS,0,-1231,0,-70.93K,CLOSE,0%
577081102,MAT,MATTEL INC,0,-4947,0,-71.88K,CLOSE,0%
438128308,HMC,HONDA MOTOR CO LTD,0,-2996,0,-72.83K,CLOSE,0%
09174C104,BITB,BITWISE BITCOIN ETF TR,1543,-2303,49.16K,-73.37K,-59.9%,<.01%
M2197Q107,CLBT,CELLEBRITE DI LTD,0,-5328,0,-73.42K,CLOSE,0%
911163103,UNFI,UNITED NAT FOODS INC,0,-1630,0,-73.45K,CLOSE,0%
09073M104,TECH,BIO-TECHNE CORP,0,-1421,0,-74.26K,CLOSE,0%
058498106,BALL,BALL CORP,5618,-1216,350.56K,-75.88K,-17.8%,<.01%
70438V106,PCTY,PAYLOCITY HLDG CORP,0,-703,0,-75.95K,CLOSE,0%
18539C204,CWEN,CLEARWAY ENERGY INC,0,-1946,0,-76.46K,CLOSE,0%
912932100,UNIT,UNITI GROUP LLC,0,-8171,0,-76.64K,CLOSE,0%
G54950103,LIN,LINDE PLC,0,-155,0,-76.84K,CLOSE,0%
062540109,BOH,BANK HAWAII CORP,914,-945,74.48K,-77.01K,-50.8%,<.01%
91823B109,UWMC,UWM HOLDINGS CORPORATION,383081,-35514,877.25K,-81.33K,-8.5%,0.01%
G0750C108,AXTA,AXALTA COATING SYS LTD,1704,-2394,58.31K,-81.92K,-58.4%,<.01%
98850P109,YUMC,YUM CHINA HLDGS INC,33503,-2022,1.37M,-82.64K,-5.7%,0.02%
G4388N106,HELE,HELEN OF TROY LTD,0,-5754,0,-82.97K,CLOSE,0%
64125C109,NBIX,NEUROCRINE BIOSCIENCES INC,1200,-497,202.24K,-83.76K,-29.3%,<.01%
05550J101,BJ,BJS WHSL CLUB HLDGS INC,0,-858,0,-84.44K,CLOSE,0%
68268W103,OMF,ONEMAIN HLDGS INC,9160,-1409,558.49K,-85.91K,-13.3%,<.01%
817565104,SCI,SERVICE CORP INTL,15173,-1147,1.15M,-87.13K,-7%,0.02%
238337109,PLAY,DAVE & BUSTERS ENTMT INC,0,-8253,0,-89.38K,CLOSE,0%
48553T106,BZ,KANZHUN LIMITED,0,-6852,0,-91.75K,CLOSE,0%
020764106,AMR,ALPHA METALLURGICAL RESOUR I,0,-452,0,-92.78K,CLOSE,0%
M51474118,GILT,GILAT SATELLITE NETWORKS LTD,0,-6192,0,-93K,CLOSE,0%
12572Q105,CME,CME GROUP INC,0,-319,0,-94.22K,CLOSE,0%
46982L108,J,JACOBS SOLUTIONS INC,5684,-751,716.18K,-94.63K,-11.7%,<.01%
03820C105,AIT,APPLIED INDL TECHNOLOGIES IN,0,-357,0,-94.72K,CLOSE,0%
G76279101,ROIV,ROIVANT SCIENCES LTD,0,-3420,0,-94.73K,CLOSE,0%
546347105,LPX,LOUISIANA PAC CORP,0,-1311,0,-95.38K,CLOSE,0%
450056106,IRTC,IRHYTHM HOLDINGS INC,0,-821,0,-96.89K,CLOSE,0%
88076W103,TDC,TERADATA CORP DEL,275,-2821,9.53K,-97.75K,-91.1%,<.01%
35953D401,FUBO,FUBOTV INC,0,-10385,0,-98.24K,CLOSE,0%
053611109,AVY,AVERY DENNISON CORP,1394,-621,226.32K,-100.82K,-30.8%,<.01%
512816109,LAMR,LAMAR ADVERTISING CO,47,-663,7.33K,-103.41K,-93.4%,<.01%
05508R106,BGS,B & G FOODS INC,0,-21532,0,-103.57K,CLOSE,0%
92847W103,VITL,VITAL FARMS INC,0,-7367,0,-104.02K,CLOSE,0%
192422103,CGNX,COGNEX CORP,3329,-1483,241.09K,-107.4K,-30.8%,<.01%
74834L100,DGX,QUEST DIAGNOSTICS INC,0,-549,0,-107.59K,CLOSE,0%
833034101,SNA,SNAP ON INC,0,-302,0,-109.69K,CLOSE,0%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,0,-3515,0,-110.83K,CLOSE,0%
B38564108,CMBT,CMB.TECH NV,0,-8787,0,-111.16K,CLOSE,0%
780087102,RY,ROYAL BK CDA,6561,-539,1.36M,-111.56K,-7.6%,0.02%
929236107,WDFC,WD 40 CO,0,-556,0,-113.39K,CLOSE,0%
G75398100,RZLV,REZOLVE AI PLC,0,-44349,0,-113.53K,CLOSE,0%
946784105,WAY,WAYSTAR HLDG CORP,0,-4769,0,-114.98K,CLOSE,0%
978097103,WWW,WOLVERINE WORLD WIDE INC,0,-7089,0,-115.69K,CLOSE,0%
862945300,ASST,STRIVE INC,28901,-10731,315.31K,-117.08K,-27.1%,<.01%
Y95308105,WVE,WAVE LIFE SCIENCES LTD,0,-16288,0,-118.09K,CLOSE,0%
52466B103,LZ,LEGALZOOM COM INC,0,-20909,0,-118.55K,CLOSE,0%
06417N103,OZK,BANK OZK LITTLE ROCK ARK,6391,-2289,332.91K,-119.23K,-26.4%,<.01%
260003108,DOV,DOVER CORP,0,-575,0,-119.86K,CLOSE,0%
G01767105,ALKS,ALKERMES PLC,0,-3395,0,-120.05K,CLOSE,0%
G87264100,TGLS,TECNOGLASS INC,12598,-2639,589.71K,-123.53K,-17.3%,<.01%
74935Q107,RBA,RB GLOBAL INC,0,-1295,0,-124.13K,CLOSE,0%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,9331,-2374,497.25K,-126.51K,-20.3%,<.01%
554382101,MAC,MACERICH CO,8117,-5056,204.47K,-127.36K,-38.4%,<.01%
05580M108,RILY,BRC GROUP HOLDINGS INC,0,-17455,0,-127.77K,CLOSE,0%
95082P105,WCC,WESCO INTL INC,62,-370,21.42K,-127.81K,-85.6%,<.01%
66987V109,NVS,NOVARTIS AG,0,-839,0,-128.16K,CLOSE,0%
767292105,RIOT,RIOT PLATFORMS INC,0,-10447,0,-129.12K,CLOSE,0%
02390A101,AMX,AMERICA MOVIL SAB DE CV,0,-5157,0,-131.4K,CLOSE,0%
75960P104,RELY,REMITLY GLOBAL INC,3217,-5870,72.09K,-131.55K,-64.6%,<.01%
759509102,RS,RELIANCE INC,0,-434,0,-131.9K,CLOSE,0%
19239V302,CCOI,COGENT COMM HOLDINGS INC,0,-7137,0,-134.46K,CLOSE,0%
127203107,WHD,CACTUS INC,0,-2859,0,-135.43K,CLOSE,0%
46429B671,MCHI,ISHARES TR,0,-2436,0,-136.85K,CLOSE,0%
03076C106,AMP,AMERIPRISE FINL INC,0,-308,0,-136.88K,CLOSE,0%
642045108,AESI,ATLAS ENERGY SOLUTIONS INC,8010,-8332,133.05K,-138.39K,-51%,<.01%
525327102,LDOS,LEIDOS HOLDINGS INC,0,-895,0,-139.19K,CLOSE,0%
73278L105,POOL,POOL CORP,0,-688,0,-139.2K,CLOSE,0%
