CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
773903109,ROK,ROCKWELL AUTOMATION INC,22271,3257,11.03M,1.61M,+17.1%,0.32%
02079K107,GOOG,ALPHABET INC,55512,4477,19.61M,1.58M,+8.8%,0.57%
36828A101,GEV,GE VERNOVA INC,92085,1283,108.19M,1.51M,+1.4%,3.1%
042068205,ARM,ARM HOLDINGS PLC,172817,4219,61.28M,1.5M,+2.5%,1.8%
92826C839,V,VISA INC,275048,4221,94.37M,1.45M,+1.6%,2.7%
562750109,MANH,MANHATTAN ASSOCIATES INC,30673,9025,4.27M,1.26M,+41.7%,0.12%
499049104,KNX,KNIGHT-SWIFT TRANSN HLDGS IN,68013,16112,5.3M,1.25M,+31%,0.15%
316773100,FITB,FIFTH THIRD BANCORP,131116,17460,7.39M,984.22K,+15.4%,0.22%
18915M107,NET,CLOUDFLARE INC,89461,3938,21.94M,965.91K,+4.6%,0.64%
91332U101,U,UNITY SOFTWARE INC,94623,32457,2.7M,927.62K,+52.2%,0.08%
57636Q104,MA,MASTERCARD INCORPORATED,27486,1501,14.12M,770.91K,+5.8%,0.41%
22266T109,CPNG,COUPANG INC,277616,44181,4.82M,767.42K,+18.9%,0.14%
00827B106,AFRM,AFFIRM HLDGS INC,45191,9038,3.69M,737.05K,+25%,0.11%
46120E602,ISRG,INTUITIVE SURGICAL INC,98722,1719,39.26M,683.62K,+1.8%,1.1%
464287309,IVW,ISHARES TR,4955,4955,681.53K,681.53K,NEW,0.02%
05464C101,AXON,AXON ENTERPRISE INC,21406,1071,12M,600.41K,+5.3%,0.35%
314352105,FDXF,FEDEX FGHT HLDG CO INC,3650,3650,551.08K,551.08K,NEW,0.02%
872540109,TJX,TJX COS INC NEW,67457,3535,10.22M,535.55K,+5.5%,0.3%
025816109,AXP,AMERICAN EXPRESS CO,28058,1556,9.49M,526.32K,+5.9%,0.28%
025537101,AEP,AMERICAN ELEC PWR CO INC,16653,3563,2.28M,487.45K,+27.2%,0.07%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,56796,4929,5.23M,453.91K,+9.5%,0.15%
929160109,VMC,VULCAN MATLS CO,119115,1443,35.14M,425.7K,+1.2%,1%
464287614,IWF,ISHARES TR,3486,3212,432.81K,398.79K,+1172.3%,0.01%
052769106,ADSK,AUTODESK INC,121094,1776,23.54M,345.29K,+1.5%,0.69%
149123101,CAT,CATERPILLAR INC,4157,276,4.43M,293.91K,+7.1%,0.13%
22160K105,COST,COSTCO WHOLESALE CORPORATION,17118,312,16.01M,291.87K,+1.9%,0.47%
949746101,WFC,WELLS FARGO & CO,62130,3285,5.13M,271.47K,+5.6%,0.15%
244199105,DE,DEERE & CO,5972,417,3.79M,264.52K,+7.5%,0.11%
75734B100,RDDT,REDDIT INC,50614,1520,8.79M,263.84K,+3.1%,0.26%
517834107,LVS,LAS VEGAS SANDS CORP,419004,5110,19.35M,236.03K,+1.2%,0.56%
683344105,ONTO,ONTO INNOVATION INC,6715,618,2.54M,233.88K,+10.1%,0.07%
172573107,CRCL,CIRCLE INTERNET GROUP INC,30452,3550,1.91M,222.34K,+13.2%,0.06%
291011104,EMR,EMERSON ELEC CO,19734,1487,2.82M,212.86K,+8.1%,0.08%
92840M102,VST,VISTRA CORP,76466,1289,12.13M,204.47K,+1.7%,0.35%
58733R102,MELI,MERCADOLIBRE INC,12744,119,21.63M,201.99K,+0.9%,0.63%
98138H101,WDAY,WORKDAY INC,84599,1577,10.36M,193.06K,+1.9%,0.3%
31428X106,FDX,FEDEX CORP,7385,608,2.31M,190.38K,+9%,0.07%
G29183103,ETN,EATON CORP PLC,18907,345,8.06M,147.01K,+1.9%,0.23%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,4241,265,2.13M,132.86K,+6.7%,0.06%
922908736,VUG,VANGUARD INDEX FDS,1502,1502,129.39K,129.39K,NEW,<.01%
518415104,LSCC,LATTICE SEMICONDUCTOR CORP,12252,830,1.87M,126.96K,+7.3%,0.05%
093712107,BE,BLOOM ENERGY CORP,346,346,104.73K,104.73K,NEW,<.01%
G3730V105,FTAI,FTAI AVIATION LTD,385,385,104.15K,104.15K,NEW,<.01%
384556106,GHM,GRAHAM CORP,815,815,100.89K,100.89K,NEW,<.01%
81762P102,NOW,SERVICENOW INC,12571,1013,1.25M,100.57K,+8.8%,0.04%
44951W106,IESC,IES HOLDINGS INC,125,125,91.83K,91.83K,NEW,<.01%
15101Q207,CLS,CELESTICA INC,250,250,91.2K,91.2K,NEW,<.01%
G87110105,FTI,TECHNIPFMC PLC,1330,1330,88.18K,88.18K,NEW,<.01%
776696106,ROP,ROPER TECHNOLOGIES INC,3280,216,1.11M,73.09K,+7%,0.03%
144285103,CRS,CARPENTER TECHNOLOGY CORP,8108,114,5M,70.32K,+1.4%,0.15%
05464T104,AXSM,AXSOME THERAPEUTICS INC.,270,270,66.09K,66.09K,NEW,<.01%
535219109,LIND,LINDBLAD EXPEDITIONS HLDGS I,2045,2045,57.75K,57.75K,NEW,<.01%
40637H109,HALO,HALOZYME THERAPEUTICS INC,720,720,56.35K,56.35K,NEW,<.01%
03820C105,AIT,APPLIED INDL TECHNOLOGIES IN,160,160,54.1K,54.1K,NEW,<.01%
29358P101,ENSG,ENSIGN GROUP INC,320,320,51.3K,51.3K,NEW,<.01%
007973100,AEIS,ADVANCED ENERGY INDS,135,135,50.34K,50.34K,NEW,<.01%
901109108,TPC,TUTOR PERINI CORP,585,585,48.54K,48.54K,NEW,<.01%
79466L302,CRM,SALESFORCE INC,9100,283,1.43M,44.33K,+3.2%,0.04%
457642205,INOD,INNODATA INC,585,585,44.21K,44.21K,NEW,<.01%
861896108,SNEX,STONEX GROUP INC,363,363,43.02K,43.02K,NEW,<.01%
462222100,IONS,IONIS PHARMACEUTICALS INC,540,540,42.82K,42.82K,NEW,<.01%
87422Q109,TLN,TALEN ENERGY CORP,110,110,42.27K,42.27K,NEW,<.01%
79589L106,IOT,SAMSARA INC,1290,1290,41.84K,41.84K,NEW,<.01%
76155X100,RVMD,REVOLUTION MEDICINES INC,220,220,41.2K,41.2K,NEW,<.01%
441593100,HLI,HOULIHAN LOKEY INC,280,280,37.56K,37.56K,NEW,<.01%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,140,140,36.49K,36.49K,NEW,<.01%
42226A107,HQY,HEALTHEQUITY INC,385,385,34.77K,34.77K,NEW,<.01%
70932M107,PFSI,PENNYMAC FINL SVCS INC NEW,385,385,33.53K,33.53K,NEW,<.01%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,268,268,32.98K,32.98K,NEW,<.01%
925550105,VIAV,VIAVI SOLUTIONS INC,685,685,32.71K,32.71K,NEW,<.01%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,270,270,31.92K,31.92K,NEW,<.01%
882681109,TXRH,TEXAS ROADHOUSE INC,165,165,31.88K,31.88K,NEW,<.01%
23345M107,DTM,DT MIDSTREAM INC,210,210,30.82K,30.82K,NEW,<.01%
204166102,CVLT,COMMVAULT SYS INC,215,215,30.47K,30.47K,NEW,<.01%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,570,570,30.38K,30.38K,NEW,<.01%
038336103,ATR,APTARGROUP INC,240,240,30.05K,30.05K,NEW,<.01%
501147102,KRYS,KRYSTAL BIOTECH INC,80,80,29.73K,29.73K,NEW,<.01%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,532,532,29.72K,29.72K,NEW,<.01%
902673102,UFPT,UFP TECHNOLOGIES INC,110,110,29.16K,29.16K,NEW,<.01%
10806X102,BBIO,BRIDGEBIO PHARMA INC,378,378,28.15K,28.15K,NEW,<.01%
81725T100,SXT,SENSIENT TECHNOLOGIES CORP,222,222,27.37K,27.37K,NEW,<.01%
G2004J103,CCL,CARNIVAL CORP LTD,944,944,26.97K,26.97K,NEW,<.01%
72703X106,PL,PLANET LABS PBC,812,812,26.9K,26.9K,NEW,<.01%
26614N201,DD,DUPONT DE NEMOURS INC,196,196,26.58K,26.58K,NEW,<.01%
89377M109,TMDX,TRANSMEDICS GROUP INC,385,385,25.57K,25.57K,NEW,<.01%
485924104,KRMN,KARMAN HLDGS INC,503,503,25.11K,25.11K,NEW,<.01%
36317J209,GLXY,GALAXY DIGITAL INC.,900,900,24.61K,24.61K,NEW,<.01%
149568107,CVCO,CAVCO INDS INC DEL,40,40,24.57K,24.57K,NEW,<.01%
44812J104,HUT,HUT 8 CORP,212,212,24.47K,24.47K,NEW,<.01%
85423L103,SARO,STANDARDAERO INC,815,815,24.38K,24.38K,NEW,<.01%
917047102,URBN,URBAN OUTFITTERS INC,340,340,24.09K,24.09K,NEW,<.01%
H5919C104,ONON,ON HLDG AG,670,670,23.73K,23.73K,NEW,<.01%
525558201,LMAT,LEMAITRE VASCULAR INC,246,246,23.61K,23.61K,NEW,<.01%
40416E103,HCI,HCI GROUP INC,130,130,22.78K,22.78K,NEW,<.01%
46222L108,IONQ,IONQ INC,425,425,22.64K,22.64K,NEW,<.01%
00847J105,AGYS,AGILYSYS INC,210,210,21.95K,21.95K,NEW,<.01%
759916109,RGEN,REPLIGEN CORP,160,160,21.83K,21.83K,NEW,<.01%
53115L104,LBRT,LIBERTY ENERGY INC,830,830,21.74K,21.74K,NEW,<.01%
453204109,PI,IMPINJ INC,150,150,21.48K,21.48K,NEW,<.01%
85914M107,STEP,STEPSTONE GROUP INC,475,475,19.65K,19.65K,NEW,<.01%
59356Q108,MIAX,MIAMI INTL HLDGS INC,525,525,19.51K,19.51K,NEW,<.01%
81764X103,TTAN,SERVICETITAN INC,265,265,18.74K,18.74K,NEW,<.01%
