CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
80401C100,SATL,SATELLOGIC INC,308,308,1.76K,1.76K,NEW,<.01%
206787103,CNDT,CONDUENT INC,1200,1200,1.75K,1.75K,NEW,<.01%
74347B573,SPXN,PROSHARES TR,21,21,1.74K,1.74K,NEW,<.01%
G16258108,BEP,BROOKFIELD RENEWABLE ENERGY,50,50,1.74K,1.74K,NEW,<.01%
H8817H100,RIG,TRANSOCEAN LTD,355,355,1.74K,1.74K,NEW,<.01%
10316T104,BOX,BOX INC,65,65,1.73K,1.73K,NEW,<.01%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,11,11,1.7K,1.7K,NEW,<.01%
58506Q109,MEDP,MEDPACE HLDGS INC,3,3,1.7K,1.7K,NEW,<.01%
053484101,AVB,AVALONBAY CMNTYS INC,9,9,1.7K,1.7K,NEW,<.01%
64125C109,NBIX,NEUROCRINE BIOSCIENCES INC,10,10,1.69K,1.69K,NEW,<.01%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,6124,7,1.45M,1.66K,+0.1%,0.13%
88688T209,TLRY,TILRAY BRANDS INC,364,364,1.64K,1.64K,NEW,<.01%
743606105,PB,PROSPERITY BANCSHARES INC,22,22,1.61K,1.61K,NEW,<.01%
G61188101,LBTYA,LIBERTY GLOBAL LTD,140,140,1.59K,1.59K,NEW,<.01%
87971M103,TU,TELUS CORPORATION,150,150,1.59K,1.59K,NEW,<.01%
890930308,TPYP,TORTOISE CAPITAL SERIES TRUS,38,38,1.58K,1.58K,NEW,<.01%
65340P106,NXE,NEXGEN ENERGY LTD,168,168,1.58K,1.58K,NEW,<.01%
72703X106,PL,PLANET LABS PBC,48,48,1.57K,1.57K,NEW,<.01%
68389X204,ORCLPR,ORACLE CORP,35,35,1.57K,1.57K,NEW,<.01%
87283Q404,TDVG,T ROWE PRICE EXCHANGE-TRADED,32,32,1.56K,1.56K,NEW,<.01%
859241101,STRL,STERLING INFRASTRUCTURE INC,2,2,1.53K,1.53K,NEW,<.01%
29337E102,ELVN,ENLIVEN THERAPEUTICS INC,30,30,1.53K,1.53K,NEW,<.01%
035255108,ANIK,ANIKA THERAPEUTICS INC,104,104,1.52K,1.52K,NEW,<.01%
740367404,PFBC,PREFERRED BK LOS ANGELES CA,14,14,1.52K,1.52K,NEW,<.01%
74767V109,QS,QUANTUMSCAPE CORP,200,200,1.51K,1.51K,NEW,<.01%
37954Y814,FINX,GLOBAL X FDS,61,61,1.5K,1.5K,NEW,<.01%
92206C870,VCIT,VANGUARD SCOTTSDALE FDS,18,18,1.49K,1.49K,NEW,<.01%
27829F108,EXG,EATON VANCE TAX-MANAGED GLOB,150,150,1.47K,1.47K,NEW,<.01%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,6085,40,223.7K,1.47K,+0.7%,0.02%
65290E101,NXT,NEXTPOWER INC,12,12,1.45K,1.45K,NEW,<.01%
37966B778,ORBX,GLOBAL X FDS,26,26,1.41K,1.41K,NEW,<.01%
91733P107,USAR,USA RARE EARTH INC,64,64,1.38K,1.38K,NEW,<.01%
33734Y109,FYX,FIRST TR EXCHANGE-TRADED ALP,9,9,1.36K,1.36K,NEW,<.01%
674215207,CHRD,CHORD ENERGY CORPORATION,12,12,1.34K,1.34K,NEW,<.01%
025072810,FDG,AMERICAN CENTY ETF TR,10,10,1.33K,1.33K,NEW,<.01%
21871N101,CXW,CORECIVIC INC,43,43,1.31K,1.31K,NEW,<.01%
882927726,HWAY,THEMES ETF TR,33,33,1.3K,1.3K,NEW,<.01%
172755100,CRUS,CIRRUS LOGIC INC,9,9,1.29K,1.29K,NEW,<.01%
46434V456,IQLT,ISHARES TR,26,26,1.29K,1.29K,NEW,<.01%
68622V106,OGN,ORGANON & CO,92,92,1.25K,1.25K,NEW,<.01%
557437100,MCN,XAI MADISON EQUITY PREMIUM I,224,224,1.24K,1.24K,NEW,<.01%
957090103,WABC,WESTAMERICA BANCORPORATION,21,21,1.22K,1.22K,NEW,<.01%
02072L607,FRDM,EA SERIES TRUST,16,16,1.2K,1.2K,NEW,<.01%
52468L505,LVHI,LEGG MASON ETF INVT,29,29,1.17K,1.17K,NEW,<.01%
03770N101,APGE,APOGEE THERAPEUTICS INC,9,9,1.14K,1.14K,NEW,<.01%
33734X754,EMDM,FIRST TR EXCHANGE-TRADED FD,26,26,1.12K,1.12K,NEW,<.01%
09175A206,BMNR,BITMINE IMMERSION TECHS INC,82,82,1.1K,1.1K,NEW,<.01%
46431W648,IETC,ISHARES U S ETF TR,10,10,1.07K,1.07K,NEW,<.01%
558868105,MDGL,MADRIGAL PHARMACEUTICALS INC,2,2,1.07K,1.07K,NEW,<.01%
22410J106,CBRL,CRACKER BARREL OLD CTRY STOR,20,20,1.07K,1.07K,NEW,<.01%
65406E102,NIC,NICOLET BANKSHARES INC,6,6,1.05K,1.05K,NEW,<.01%
37954Y673,PAVE,GLOBAL X FDS,18,18,1.05K,1.05K,NEW,<.01%
302491303,FMC,FMC CORP,90,90,1.03K,1.03K,NEW,<.01%
729132100,PLXS,PLEXUS CORP,3,3,1.03K,1.03K,NEW,<.01%
15118V207,CELH,CELSIUS HLDGS INC,35,35,1.02K,1.02K,NEW,<.01%
464286343,POWR,ISHARES INC,37,37,1.02K,1.02K,NEW,<.01%
46138M109,FXB,INVESCO CURRENCYSHARES BRIT,8,8,1.02K,1.02K,NEW,<.01%
13321L108,CCJ,CAMECO CORP,10,10,1.02K,1.02K,NEW,<.01%
108621103,BWB,BRIDGEWATER BANCSHARES INC,48,48,1.02K,1.02K,NEW,<.01%
