CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
073463309,BODI,THE BEACHBODY COMPANY INC,0,-102172,0,-1.11M,CLOSE,0%
53216B104,LFMD,LIFEMD INC,0,-360250,0,-1.3M,CLOSE,0%
04342Y104,ASAN,ASANA INC,105100,-276616,735.7K,-1.94M,-72.5%,0.19%
71944F106,PHR,PHREESIA INC,629752,-324176,6.48M,-3.34M,-34%,1.7%
75585H206,REAX,THE REAL BROKERAGE INC,0,-1650593,0,-4.13M,CLOSE,0%
68373J104,LPRO,OPEN LENDING CORP,0,-3799105,0,-4.75M,CLOSE,0%
05637B105,BLZE,BACKBLAZE INC,0,-1520055,0,-5.24M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,69271,-23833,16.51M,-5.68M,-25.6%,4.4%
76029L100,RPAY,REPAY HLDGS CORP,764673,-1925966,3.21M,-8.09M,-71.6%,0.85%
42225T107,HCAT,HEALTH CATALYST INC,167097,-4101044,332.52K,-8.16M,-96.1%,0.09%
Total,,,,,377.4M,25.88M,+9.7%,100%
