CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
042735100,ARW,ARROW ELECTRS INC,409757,196110,87.45M,41.85M,+91.8%,0.05%
457642205,INOD,INNODATA INC,878778,551710,66.42M,41.7M,+168.7%,0.04%
87807B107,TRP,TC ENERGY CORP,898093,625164,59.46M,41.39M,+229.1%,0.04%
783513203,RYAAY,RYANAIR HOLDINGS PLC,644450,639050,41.73M,41.38M,+11834.3%,0.03%
172967424,C,CITIGROUP INC,5616122,292745,786.03M,40.97M,+5.5%,0.49%
89677Q107,TCOM,TRIP COM GROUP LTD,2564376,1021864,102.16M,40.71M,+66.2%,0.06%
94419LAP6,W,WAYFAIR INC,26718000,26718000,40.5M,40.5M,NEW,0.03%
464287390,ILF,ISHARES TR,1186133,1186133,40.03M,40.03M,NEW,0.02%
86771W105,RUN,SUNRUN INC,10227120,2965823,136.84M,39.68M,+40.8%,0.08%
000899104,ADMA,ADMA BIOLOGICS INC,5274597,4713770,44.15M,39.45M,+840.5%,0.03%
110448107,BTI,BRITISH AMERN TOB PLC,1075285,635902,66.41M,39.27M,+144.7%,0.04%
92189H607,OIH,VANECK ETF TRUST,104796,104796,38.99M,38.99M,NEW,0.02%
894164102,TNL,TRAVEL PLUS LEISURE CO,574369,506499,43.9M,38.71M,+746.3%,0.03%
G0176J109,ALLE,ALLEGION PLC,361755,274661,50.82M,38.59M,+315.4%,0.03%
90364P105,PATH,UIPATH INC,4719704,3548801,51.3M,38.58M,+303.1%,0.03%
74967X103,RH,RH,260485,232913,42.91M,38.37M,+844.7%,0.03%
032108649,SILJ,AMPLIFY ETF TR,1476796,1476796,38.28M,38.28M,NEW,0.02%
03969K108,ARQT,ARCUTIS BIOTHERAPEUTICS INC,3949609,1453387,103.56M,38.11M,+58.2%,0.06%
29444U700,EQIX,EQUINIX INC,266210,35999,277.49M,37.52M,+15.6%,0.17%
665531AJ8,NOG,NORTHERN OIL & GAS INC,38533000,38533000,36.92M,36.92M,NEW,0.02%
000360206,AAON,AAON INC,313228,289161,39.74M,36.68M,+1201.5%,0.02%
552953101,MGM,MGM RESORTS INTERNATIONAL,821260,763797,39.26M,36.52M,+1329.2%,0.02%
29390K102,NVRI,ENVIRI CORP,1661577,1661577,36.47M,36.47M,NEW,0.02%
81369Y803,XLK,SELECT SECTOR SPDR TR,191335,191335,36.45M,36.45M,NEW,0.02%
70509V100,PEB,PEBBLEBROOK HOTEL TR,2728760,1872055,52.97M,36.34M,+218.5%,0.03%
929089100,VOYA,VOYA FINANCIAL INC,441936,400426,40.01M,36.25M,+964.6%,0.02%
02553E106,AEO,AMERICAN EAGLE OUTFITTERS IN,6615074,2100433,113.78M,36.13M,+46.5%,0.07%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,350112,251192,49.79M,35.72M,+253.9%,0.03%
29786AAJ5,ETSY,ETSY INC,121804000,35000000,124M,35.63M,+40.3%,0.08%
45073V108,ITT,ITT INC,338309,180055,66.9M,35.61M,+113.8%,0.04%
21874C102,CNM,CORE & MAIN INC,4578348,734976,220.91M,35.46M,+19.1%,0.14%
00827BAD8,AFRM,AFFIRM HLDGS INC,30000000,30000000,35M,35M,NEW,0.02%
40412C101,HCA,HCA HEALTHCARE INC,139447,89512,54.37M,34.9M,+179.3%,0.03%
98423F109,XMTR,XOMETRY INC,361416,361416,34.88M,34.88M,NEW,0.02%
72651A207,PAGP,PLAINS GP HLDGS L P,2904729,1435748,70.5M,34.85M,+97.7%,0.04%
84472E102,SSB,SOUTHSTATE BK CORP,347813,347813,34.75M,34.75M,NEW,0.02%
163086101,CHEF,CHEFS WHSE INC,664493,359569,63.86M,34.55M,+117.9%,0.04%
565788AF3,MARA,MARA HOLDINGS INC,91028000,34139000,91.54M,34.33M,+60%,0.06%
89422G107,TVTX,TRAVERE THERAPEUTICS INC,1440469,603925,81.83M,34.31M,+72.2%,0.05%
380237107,GDDY,GODADDY INC,2346252,403272,199.15M,34.23M,+20.8%,0.12%
925283103,VSNT,VERSANT MEDIA GROUP INC,1040980,930408,37.49M,33.5M,+841.4%,0.02%
011532108,AGI,ALAMOS GOLD INC,1215856,1096178,36.87M,33.25M,+915.9%,0.02%
98978V103,ZTS,ZOETIS INC,537515,462366,38.63M,33.23M,+615.3%,0.02%
217204106,CPRT,COPART INC,1377992,1178435,38.85M,33.22M,+590.5%,0.02%
49271V100,KDP,KEURIG DR PEPPER INC,1069469,1009765,35M,33.05M,+1691.3%,0.02%
294429105,EFX,EQUIFAX INC,304152,207467,48.28M,32.93M,+214.6%,0.03%
19260Q107,COIN,COINBASE GLOBAL INC,298343,224367,43.61M,32.8M,+303.3%,0.03%
917047102,URBN,URBAN OUTFITTERS INC,691160,462348,48.98M,32.76M,+202.1%,0.03%
268150109,DT,DYNATRACE INC,3906408,746041,171.53M,32.76M,+23.6%,0.11%
957638109,WAL,WESTERN ALLIANCE BANCORP,525608,395810,43.2M,32.54M,+304.9%,0.03%
87241L109,TFII,TFI INTERNATIONAL INC,238717,226117,34.3M,32.49M,+1794.6%,0.02%
00206R102,T,AT&T INC,24079356,1555147,498.44M,32.19M,+6.9%,0.31%
594972AL5,MSTR,STRATEGY INC,34850000,34850000,31.96M,31.96M,NEW,0.02%
857477103,STT,STATE STR CORP,484459,187841,82.16M,31.86M,+63.3%,0.05%
