CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287390,ILF,ISHARES TR,11201,4659,378.02K,157.24K,+71.2%,<.01%
52468L505,LVHI,LEGG MASON ETF INVT,15898,3856,645.22K,156.5K,+32%,<.01%
M8T80P204,NEXN,NEXXEN INTL LTD,37689,17237,340.33K,155.65K,+84.3%,<.01%
681936100,OHI,OMEGA HEALTHCARE INVS INC,131936,3256,6.29M,155.25K,+2.5%,<.01%
68236X100,TOI,THE ONCOLOGY INSTITUTE INC,78107,28576,424.12K,155.17K,+57.7%,<.01%
092113109,BKH,BLACK HILLS CORP,21640,2080,1.61M,154.75K,+10.6%,<.01%
337345102,QTEC,FIRST TR EXCHANGE-TRADED FD,7759,462,2.6M,154.62K,+6.3%,<.01%
675232102,OII,OCEANEERING INTL INC,349342,3810,14.16M,154.38K,+1.1%,<.01%
46434G848,PICK,ISHARES INC,7511,2654,436.75K,154.33K,+54.6%,<.01%
30049A107,EPM,EVOLUTION PETE CORP,48366,41582,177.99K,153.02K,+612.9%,<.01%
L44385109,GLOB,GLOBANT S A,10037,5252,290.46K,151.99K,+109.8%,<.01%
46137V738,PWV,INVESCO EXCHANGE TRADED FD T,21631,1997,1.64M,151.32K,+10.2%,<.01%
69374H857,CALF,PACER FDS TR,9543,2984,482.96K,151.02K,+45.5%,<.01%
700885106,PKBK,PARKE BANCORP INC,6647,4552,220.42K,150.95K,+217.3%,<.01%
74291D104,PROK,PROKIDNEY CORP,84206,73952,171.78K,150.86K,+721.2%,<.01%
86384P109,STUB,STUBHUB HLDGS INC,11771,11721,151.5K,150.86K,+23442%,<.01%
22113B103,CSAN,COSAN S A,59247,52250,170.63K,150.48K,+746.7%,<.01%
46138E743,PXF,INVESCO EXCH TRADED FD TR II,38093,1983,2.88M,150K,+5.5%,<.01%
316092618,FDHY,FIDELITY COVINGTON TRUST,4817,3052,236.17K,149.63K,+172.9%,<.01%
192005106,CDXS,CODEXIS INC,478483,65886,1.08M,148.9K,+16%,<.01%
67018T105,NUS,NU SKIN ENTERPRISES INC,32918,28134,173.81K,148.55K,+588.1%,<.01%
464287754,IYJ,ISHARES TR,26540,889,4.42M,148.15K,+3.5%,<.01%
381430438,GSEW,GOLDMAN SACHS ETF TR,5046,1561,476.49K,147.4K,+44.8%,<.01%
81642T209,SLS,SELLAS LIFE SCIENCES GROUP I,25533,9972,376.87K,147.19K,+64.1%,<.01%
01626W101,ALIT,ALIGHT INC,352260,261595,197.27K,146.49K,+288.5%,<.01%
45778Q107,NSP,INSPERITY INC,36149,3501,1.49M,144.62K,+10.7%,<.01%
33734K109,FEX,FIRST TR EXCHANGE-TRADED ALP,10419,1027,1.46M,143.65K,+10.9%,<.01%
92189F684,RTH,VANECK ETF TRUST,2133,561,545.54K,143.48K,+35.7%,<.01%
700215304,TRAK,REPOSITRAK INC,22009,15874,198.08K,142.86K,+258.7%,<.01%
92204A884,VOX,VANGUARD WORLD FD,13871,776,2.55M,142.74K,+5.9%,<.01%
381430206,GEM,GOLDMAN SACHS ETF TR,7913,2727,411.46K,141.8K,+52.6%,<.01%
921935508,VFMO,VANGUARD WELLINGTON FD,568,568,141.65K,141.65K,NEW,<.01%
81369Y860,XLRE,SELECT SECTOR SPDR TR,20405,3217,898.41K,141.64K,+18.7%,<.01%
40637HAF6,HALO,HALOZYME THERAPEUTICS INC,6751000,97000,9.85M,141.59K,+1.5%,<.01%
001055102,AFL,AFLAC INC,1437756,1201,168.58M,140.82K,+0.1%,<.01%
52466B103,LZ,LEGALZOOM COM INC,27358,22930,167.71K,140.56K,+517.8%,<.01%
03945R102,ACHR,ARCHER AVIATION INC,710238,29539,3.36M,139.72K,+4.3%,<.01%
69374H105,PTLC,PACER FDS TR,12059,2396,702.58K,139.6K,+24.8%,<.01%
464287325,IXJ,ISHARES TR,16116,1412,1.59M,139.34K,+9.6%,<.01%
