CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,433500,433500,161.7M,161.7M,NEW,7.7%
30303M102,META,META PLATFORMS INC,245500,245500,138.29M,138.29M,NEW,6.6%
02079K305,GOOGL,ALPHABET INC,1500000,100000,536.05M,35.74M,+7.1%,25.6%
98944F109,ZEO,ZEO ENERGY CORP,37249,0,24.6K,0,NO CHANGE,<.01%
747525103,QCOM,QUALCOMM INC,0,-100000,0,-12.88M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,200000,-200000,40.02M,-40.02M,-50%,1.9%
023135106,AMZN,AMAZON COM INC,0,-400000,0,-83.31M,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR,1649900,-550100,1.21B,-405.09M,-25%,58.1%
Total,,,,,2.09B,-205.57M,-11.2%,100%
