CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
55303J106,MGPI,MGP INGREDIENTS INC NEW,23686,-12300,414.98K,-215.5K,-34.2%,<.01%
11161T207,BWEN,BROADWIND INC,149186,-44672,720.57K,-215.77K,-23%,<.01%
12466Q104,CFFI,C & F FINL CORP,78079,-2700,6.25M,-216K,-3.3%,<.01%
06368M302,GDXD,BANK MONTREAL MEDIUM,0,-5248,0,-216.53K,CLOSE,0%
46092D210,IREZ,INVESTMENT MANAGERS SER TR I,0,-7200,0,-216.65K,CLOSE,0%
L01800108,ALVO,ALVOTECH,0,-63200,0,-216.78K,CLOSE,0%
449172105,HY,HYSTER-YALE INC,37200,-6200,1.3M,-217.37K,-14.3%,<.01%
85208P873,SLVR,SPROTT FDS TR,0,-3700,0,-218.97K,CLOSE,0%
732344106,PDLB,PONCE FINANCIAL GROUP INC,231135,-11000,4.61M,-219.34K,-4.5%,<.01%
023586100,UHAL,U HAUL HOLDING COMPANY,0,-4600,0,-219.79K,CLOSE,0%
80007P869,SD,SANDRIDGE ENERGY INC,1487395,-16169,20.38M,-221.52K,-1.1%,0.03%
42981K100,ROLR,HIGH ROLLER TECHNOLOGIES INC,0,-63799,0,-222.02K,CLOSE,0%
921910725,VSGX,VANGUARD WORLD FD,0,-3100,0,-222.36K,CLOSE,0%
887098101,TSBK,TIMBERLAND BANCORP INC,212589,-5000,9.53M,-224.05K,-2.3%,0.01%
808541106,MATV,MATIV HOLDINGS INC,48300,-29800,365.63K,-225.59K,-38.2%,<.01%
98401F105,XNCR,XENCOR INC,0,-18723,0,-225.8K,CLOSE,0%
74640Y106,PRPL,PURPLE INNOVATION INC,43477,-634177,15.52K,-226.4K,-93.6%,<.01%
746228303,PCYO,PURE CYCLE CORP,63265,-21174,677.57K,-226.77K,-25.1%,<.01%
985194208,YSG,YATSEN HLDG LTD,541047,-71546,1.72M,-226.8K,-11.7%,<.01%
