CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922908363,VOO,VANGUARD INDEX FDS,648,-54,387.23K,-32.27K,-7.7%,0.05%
33740F581,QMAR,FIRST TR EXCHNG TRADED FD VI,80095,-1000,2.69M,-33.62K,-1.2%,0.37%
46641Q837,JPST,J P MORGAN EXCHANGE TRADED F,26960,-755,1.36M,-38.21K,-2.7%,0.19%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,28101,-2615,422.92K,-39.36K,-8.5%,0.06%
81369Y506,XLE,SELECT SECTOR SPDR TR,14073,-665,862.11K,-40.74K,-4.5%,0.12%
33733E856,IGLD,FIRST TR EXCHANGE-TRADED FD,28750,-1600,733.99K,-40.85K,-5.3%,0.1%
68389X105,ORCL,ORACLE CORP,2615,-320,384.7K,-47.08K,-10.9%,0.05%
389637109,GBTC,GRAYSCALE BITCOIN TRUST ETF,133438,-992,7.04M,-52.34K,-0.7%,0.97%
64110L106,NFLX,NETFLIX INC.,60577,-640,5.82M,-61.54K,-1%,0.8%
381430529,GBIL,GOLDMAN SACHS ETF TR,42076,-696,4.22M,-69.73K,-1.6%,0.58%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,10890,-154,5.22M,-73.8K,-1.4%,0.72%
02079K107,GOOG,ALPHABET INC,7185,-259,2.06M,-74.29K,-3.5%,0.28%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,34495,-396,7.42M,-85.16K,-1.1%,1%
921078101,OUNZ,VANECK MERK GOLD ETF,37000,-2095,1.67M,-94.38K,-5.4%,0.23%
512807306,LRCX,LAM RESEARCH CORP,16430,-500,3.51M,-106.83K,-3%,0.48%
38747R801,CONL,GRANITESHARES ETF TR,0,-11370,0,-166.57K,CLOSE,0%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,0,-9700,0,-216.5K,CLOSE,0%
704326107,PAYX,PAYCHEX INC,0,-2100,0,-235.58K,CLOSE,0%
92864M830,SOLT,VOLATILITY SHS TR,0,-39123,0,-249.6K,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,653,-836,220.62K,-282.44K,-56.1%,0.03%
46144X487,TARK,INVESTMENT MANAGERS SER TR I,0,-8947,0,-434.37K,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,222270,-4635,38.76M,-808.34K,-2%,5.3%
037833100,AAPL,APPLE INC,175566,-5722,44.56M,-1.45M,-3.2%,6.1%
91917A108,BTF,VALKYRIE ETF TRUST II,0,-305035,0,-1.59M,CLOSE,0%
Total,,,,,728.42M,24.73M,+3%,100%
