CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
095924106,OTF,Owl Rock Technology Finance Corp,5648798,208007,69.84M,2.57M,+3.8%,11.6%
G65163100,JOBY,Joby Aviation,28470647,0,244.89M,0,NO CHANGE,40.7%
74767V109,QS,Quantumscape Corp.,11496990,0,78.69M,0,NO CHANGE,13.1%
63942X106,NVTS,Navitas Semiconductor,7992697,0,71.19M,0,NO CHANGE,11.8%
00BLPK443,RNEW,Ecofin US Renewables Infrastructure PLC,22500000,0,5.4M,0,NO CHANGE,0.9%
42238D107,HTFL,Heartflow,256701,-1404900,6.48M,-35.47M,-84.6%,1.1%
72703X106,PL,Planet Labs,5355847,-1785283,125.04M,-41.68M,-25%,20.8%
Total,,,,,601.53M,-74.58M,-9%,100%
